ticker,earnings_date,announce_timing,pre_close_date,day0_date,dt_m10,dt_m5,dt_m1,dt_p1,dt_p5,dt_p10,path_start,path_end,pre_bdays,post_bdays
MA,2021-01-28,bmo,2021-01-27,2021-01-28,2021-01-13,2021-01-21,2021-01-27,2021-01-29,2021-02-04,2021-02-11,2021-01-13,2021-02-11,10,10
MA,2021-04-29,bmo,2021-04-28,2021-04-29,2021-04-15,2021-04-22,2021-04-28,2021-04-30,2021-05-06,2021-05-13,2021-04-15,2021-05-13,10,10
MA,2021-07-29,bmo,2021-07-28,2021-07-29,2021-07-15,2021-07-22,2021-07-28,2021-07-30,2021-08-05,2021-08-12,2021-07-15,2021-08-12,10,10
MA,2021-10-28,bmo,2021-10-27,2021-10-28,2021-10-14,2021-10-21,2021-10-27,2021-10-29,2021-11-04,2021-11-11,2021-10-14,2021-11-11,10,10
MA,2022-01-27,bmo,2022-01-26,2022-01-27,2022-01-12,2022-01-20,2022-01-26,2022-01-28,2022-02-03,2022-02-10,2022-01-12,2022-02-10,10,10
MA,2022-04-28,bmo,2022-04-27,2022-04-28,2022-04-13,2022-04-21,2022-04-27,2022-04-29,2022-05-05,2022-05-12,2022-04-13,2022-05-12,10,10
MA,2022-07-28,bmo,2022-07-27,2022-07-28,2022-07-14,2022-07-21,2022-07-27,2022-07-29,2022-08-04,2022-08-11,2022-07-14,2022-08-11,10,10
MA,2022-10-27,bmo,2022-10-26,2022-10-27,2022-10-13,2022-10-20,2022-10-26,2022-10-28,2022-11-03,2022-11-10,2022-10-13,2022-11-10,10,10
MA,2023-01-26,bmo,2023-01-25,2023-01-26,2023-01-11,2023-01-19,2023-01-25,2023-01-27,2023-02-02,2023-02-09,2023-01-11,2023-02-09,10,10
MA,2023-04-27,bmo,2023-04-26,2023-04-27,2023-04-13,2023-04-20,2023-04-26,2023-04-28,2023-05-04,2023-05-11,2023-04-13,2023-05-11,10,10
MA,2023-07-27,bmo,2023-07-26,2023-07-27,2023-07-13,2023-07-20,2023-07-26,2023-07-28,2023-08-03,2023-08-10,2023-07-13,2023-08-10,10,10
MA,2023-10-26,bmo,2023-10-25,2023-10-26,2023-10-12,2023-10-19,2023-10-25,2023-10-27,2023-11-02,2023-11-09,2023-10-12,2023-11-09,10,10
MA,2024-01-31,bmo,2024-01-30,2024-01-31,2024-01-17,2024-01-24,2024-01-30,2024-02-01,2024-02-07,2024-02-14,2024-01-17,2024-02-14,10,10
MA,2024-05-01,bmo,2024-04-30,2024-05-01,2024-04-17,2024-04-24,2024-04-30,2024-05-02,2024-05-08,2024-05-15,2024-04-17,2024-05-15,10,10
MA,2024-07-31,bmo,2024-07-30,2024-07-31,2024-07-17,2024-07-24,2024-07-30,2024-08-01,2024-08-07,2024-08-14,2024-07-17,2024-08-14,10,10
MA,2024-10-31,bmo,2024-10-30,2024-10-31,2024-10-17,2024-10-24,2024-10-30,2024-11-01,2024-11-07,2024-11-14,2024-10-17,2024-11-14,10,10
MA,2025-01-30,bmo,2025-01-29,2025-01-30,2025-01-15,2025-01-23,2025-01-29,2025-01-31,2025-02-06,2025-02-13,2025-01-15,2025-02-13,10,10
MA,2025-05-01,bmo,2025-04-30,2025-05-01,2025-04-16,2025-04-24,2025-04-30,2025-05-02,2025-05-08,2025-05-15,2025-04-16,2025-05-15,10,10
MA,2025-07-31,bmo,2025-07-30,2025-07-31,2025-07-17,2025-07-24,2025-07-30,2025-08-01,2025-08-07,2025-08-14,2025-07-17,2025-08-14,10,10
MA,2025-10-30,bmo,2025-10-29,2025-10-30,2025-10-16,2025-10-23,2025-10-29,2025-10-31,2025-11-06,2025-11-13,2025-10-16,2025-11-13,10,10
