ticker,earnings_date,day0_date,day0_dt,call_date,call_dt,call_gap_days,news_folder_date,phase,publishedDate,site,url,title,text,n_tokens_raw,n_tokens,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-22 00:43:06,seekingalpha.com,https://seekingalpha.com/article/4400329-treating-causes-of-alzheimers-disease-case-for-anavex-2minus-73,Treating The Causes Of Alzheimer's Disease: The Case For Anavex 2-73,"Treating The Causes Of Alzheimer's Disease: The Case For Anavex 2-73
Eli Lilly recently released generally positive results for its anti-amyloid drug donanemab. Drugs that directly or indirectly target amyloid oligomers which activate various receptors appear to have little effect on non-ApoE4 carriers and only a modest effect on ApoE4 carriers.",53.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-22 08:55:00,prnewswire.com,https://www.prnewswire.com/news-releases/lilly-completes-acquisition-of-prevail-therapeutics-301213219.html,Lilly Completes Acquisition of Prevail Therapeutics,"Lilly Completes Acquisition of Prevail Therapeutics
INDIANAPOLIS, Jan. 22, 2021 /PRNewswire/ -- Eli Lilly and Company (NYSE:LLY) today announced the successful completion of its acquisition of Prevail Therapeutics Inc. (NASDAQ: PRVL). The acquisition establishes a new modality for drug discovery and development at Lilly, extending Lilly's...",45.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-26 06:45:00,prnewswire.com,https://www.prnewswire.com/news-releases/new-data-show-treatment-with-lillys-neutralizing-antibodies-bamlanivimab-ly-cov555-and-etesevimab-ly-cov016-together-reduced-risk-of-covid-19-hospitalizations-and-death--by-70-percent-301214598.html,New data show treatment with Lilly's neutralizing antibodies bamlanivimab (LY-CoV555) and etesevimab (LY-CoV016) together reduced risk of COVID-19 hospitalizations and death by 70 percent,"New data show treatment with Lilly's neutralizing antibodies bamlanivimab (LY-CoV555) and etesevimab (LY-CoV016) together reduced risk of COVID-19 hospitalizations and death by 70 percent
INDIANAPOLIS, Jan. 26, 2021 /PRNewswire/ -- Bamlanivimab (LY-CoV555) 2800 mg and etesevimab (LY-CoV016) 2800 mg together significantly reduced COVID-19-related hospitalizations and deaths (collectively, ""events"") in high-risk patients recently diagnosed with COVID-19, meeting the primary...",59.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-26 08:45:29,marketwatch.com,https://www.marketwatch.com/story/lilly-says-late-stage-study-showed-combo-therapy-can-reduce-deaths-and-hospitalizations-in-covid-19-patients-2021-01-26,Lilly says late-stage study showed combo therapy can reduce deaths and hospitalizations in COVID-19 patients,"Lilly says late-stage study showed combo therapy can reduce deaths and hospitalizations in COVID-19 patients
Shares of Eli Lilly & Co. were up 0.3% in premarket trading on Tuesday after the drugmaker said combining two of its experimental COVID-19 antibody treatments can reduce hospitalizations and deaths in high-risk patients by up to 70%, based on findings from a Phase 3 clinical trial. The combination of bamlanivimab, which has received emergency use authorization in the U.S. as a standalone treatment for some COVID-19 patients, and the still-investigational etesevimab is being tested in about 1,000 patients.",93.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-27 06:45:00,prnewswire.com,https://www.prnewswire.com/news-releases/lilly-vir-biotechnology-and-gsk-announce-first-patient-dosed-in-expanded-blaze-4-trial-evaluating-bamlanivimab-ly-cov555-with-vir-7831-gsk4182136-for-covid-19-301216017.html,"Lilly, Vir Biotechnology and GSK announce first patient dosed in expanded BLAZE-4 trial evaluating bamlanivimab (LY-CoV555) with VIR-7831 (GSK4182136) for COVID-19","Lilly, Vir Biotechnology and GSK announce first patient dosed in expanded BLAZE-4 trial evaluating bamlanivimab (LY-CoV555) with VIR-7831 (GSK4182136) for COVID-19
INDIANAPOLIS and SAN FRANCISCO and LONDON, Jan. 27, 2021 /PRNewswire/ -- Eli Lilly and Company (NYSE: LLY), Vir Biotechnology, Inc. (NASDAQ: VIR) and GlaxoSmithKline plc (LSE/NYSE: GSK) today announced a collaboration to evaluate a combination of two COVID-19 therapies in low-risk...",62.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.04
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-28 06:34:00,prnewswire.com,https://www.prnewswire.com/news-releases/lilly-and-asahi-kasei-pharma-announce-license-agreement-for-chronic-pain-drug-candidate-301217103.html,Lilly and Asahi Kasei Pharma Announce License Agreement for Chronic Pain Drug Candidate,"Lilly and Asahi Kasei Pharma Announce License Agreement for Chronic Pain Drug Candidate
INDIANAPOLIS and TOKYO, Jan. 28, 2021 /PRNewswire/ -- Eli Lilly and Company (NYSE: LLY) and Asahi Kasei Pharma Corporation today announced a license agreement whereby Lilly will acquire the exclusive rights for AK1780 from Asahi Kasei Pharma. AK1780 is an orally bioavailable P2X7 receptor...",55.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.041666666666666664
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-28 12:02:36,zacks.com,https://www.zacks.com/stock/news/1253404/5-big-pharma-biotech-stocks-set-to-trump-q4-earnings-estimates,5 Big Pharma/Biotech Stocks Set to Trump Q4 Earnings Estimates,"5 Big Pharma/Biotech Stocks Set to Trump Q4 Earnings Estimates
Let us take a look at some drug/biotech stocks including Sanofi (SNY) and Merck (MRK) that are poised to beat fourth-quarter earnings estimates.",35.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-29 06:20:00,prnewswire.com,https://www.prnewswire.com/news-releases/lilly-reports-strong-fourth-quarter-and-full-year-2020-financial-results-301217838.html,Lilly Reports Strong Fourth-Quarter and Full-Year 2020 Financial Results,"Lilly Reports Strong Fourth-Quarter and Full-Year 2020 Financial Results
INDIANAPOLIS, Jan. 29, 2021 /PRNewswire/ -- Eli Lilly and Company (NYSE: LLY) today announced financial results for the fourth quarter and full year of 2020. $ in millions, except per share data Fourth Quarter % Full Year % 2020 2019 Change 2020 2019 Change Revenue $ 7,440.0 $ 6,114.0 22%...",44.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-29 06:37:19,marketwatch.com,https://www.marketwatch.com/story/eli-lilly-beats-profit-and-sales-forecasts-to-deliver-500000-more-covid-19-treatment-doses-by-end-of-march-2021-01-29,"Eli Lilly beats profit and sales forecasts, to deliver 500,000 more COVID-19 treatment doses by end of March","Eli Lilly beats profit and sales forecasts, to deliver 500,000 more COVID-19 treatment doses by end of March
Eli Lilly & Co. reported Friday a big fourth-quarter profit beat and revenue that rose 22% to top forecasts, as it recognized $850 million in U.S. revenue for bamlanivimab, the drugmaker's treatment for mile to moderate COVID-19 that has been granted Emergency Use Authorization. The company said it has delivered 950,000 bamlanivimab doses to the U.S. government, and has agreed to deliver 500,000 more doses no later than March 31.",85.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLY,2021-01-29,2021-01-29,,2021-01-29,2021-01-29T09:00:00-05:00,0,2021-01-29,pre,2021-01-29 06:39:00,reuters.com,https://www.reuters.com/article/us-lilly-results/eli-lilly-profit-rises-41-5-as-covid-19-drug-lifts-sales-idUSKBN29Y1CY,Eli Lilly profit rises 41.5% as COVID-19 drug lifts sales,"Eli Lilly profit rises 41.5% as COVID-19 drug lifts sales
Eli Lilly and Co posted a 41.5% rise in fourth-quarter profit on Friday, helped by higher demand for its diabetes drugs and a successful launch of its COVID-19 antibody treatment.",39.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616
