,abs_corr_with_target
km_netDebtToEBITDA,0.6341966221357851
rt_daysOfSalesOutstanding,0.558851433692448
rt_receivablesTurnover,0.5397731117194658
rt_cashConversionCycle,0.4549527656418865
rt_grossProfitMargin,0.438841091175518
km_cashPerShare,0.42572905136936035
rt_priceToFreeCashFlowsRatio,0.42033174015065566
km_pfcfRatio,0.42033174015065566
km_freeCashFlowYield,0.41389973971148436
rt_cashFlowToDebtRatio,0.4065958550938543
km_pocfratio,0.40126089153467565
rt_priceToOperatingCashFlowsRatio,0.40126089153467565
rt_operatingCashFlowSalesRatio,0.39581044850357006
km_incomeQuality,0.3827352928797673
km_capexToRevenue,0.3746279976663168
km_freeCashFlowPerShare,0.37309991522074964
km_operatingCashFlowPerShare,0.35751638440669803
rt_returnOnEquity,0.30931221495611533
rt_payoutRatio,0.2908729908312211
rt_returnOnCapitalEmployed,0.28748117785475835
rt_assetTurnover,0.2847538376745129
eps_surprise_pct,0.28181670918278934
km_revenuePerShare,0.2617639669824285
km_roic,0.25008242977333583
km_earningsYield,0.22829258904855054
rt_enterpriseValueMultiple,0.2271006116097789
km_enterpriseValueOverEBITDA,0.2271006116097789
rt_returnOnAssets,0.2262308447801859
km_evToSales,0.22287769211840774
rt_debtRatio,0.2140224437544186
km_priceToSalesRatio,0.20669756703805856
rt_cashRatio,0.19426730027047162
km_debtToEquity,0.185918315189711
rt_debtEquityRatio,0.185918315189711
rt_priceFairValue,0.18134622949475357
km_pbRatio,0.18134622949475357
km_peRatio,0.17571140653256498
rt_priceEarningsRatio,0.17571140653256498
rt_effectiveTaxRate,0.17254184285093993
revenue_surprise_pct,0.1714085346003397
km_marketCap,0.14791864976940106
km_enterpriseValue,0.14230981812422377
km_bookValuePerShare,0.07594680432651987
rt_ebitPerRevenue,0.05428932751401214
rt_operatingProfitMargin,0.05428932751401214
rt_daysOfPayablesOutstanding,0.052359299379460496
rt_dividendYield,0.03948313884917344
rt_netProfitMargin,0.03672779852567347
rt_currentRatio,0.02011543341964018
rt_quickRatio,0.02011543341964018
rt_interestCoverage,0.01914728504045455
