text,label
"Koff 's market share of the volume of the market was 23.4 % , Karhu 's 21.4 % .",1
"The market value of one crane is some USD6m , reported the Finnish news agency STT .",1
Sales by Seppala diminished by 6 per cent .,0
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",2
The purchase sum is about EUR 10mn US$ 12.97 mn .,1
Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,1
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,2
Scanfil issued a profit warning on 10 April 2006 .,0
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,1
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,1
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,1
Work on the assignment has already started and is due for completion in spring 2011 .,1
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",1
Cargo volume increased by approximately 5 % .,2
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,2
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,1
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",1
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",0
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",1
The company said that the results of the third quarter do not include non-recurring items .,1
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,0
"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",1
The company did not disclose the price of the acquisition .,1
"Finnish dental care group Oral Hammaslaakarit Oyj posted a total net profit of 849,000 euro $ 1.1 mln in the first nine months of 2006 versus a net loss of 331,000 euro $ 421,000 in the same period of 2005 .",2
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,1
